N	β	hx	hz	ED E/N	ED M/N	ε	±	ϴ	±
2.0	1.0	2.0	1.5	-3.056500589994179	0.36256769699490926	-0.002910089994178744	0.0017499726771336	-0.4511273030050907	0.0004477048664183
2.0	1.0	2.0	2.0	-3.489481501311069	0.3920345357101946	-0.0008425013110691104	0.0018041001032249	-0.4773544642898054	0.0003686189123728
2.0	1.2	0.0	0.0	-0.9836748576936801	0.49183742884684006	-0.0006140243603466322	0.0009263234333986	0.4874734288468401	0.0009958704470271
2.0	1.2	0.0	0.5	-1.4058921020330413	0.49547538979836386	0.001966231300292165	0.001050494878153	-0.3376246102016361	0.0005490106478136
2.0	1.2	0.0	1.0	-1.9792626189212694	0.49852120657147564	-5.51189212696368e-5	0.001133564773536	-0.4839677934285243	0.000182467526353
2.0	1.2	0.0	1.5	-2.49619072841514	0.4995508027355189	0.0017596882515267254	0.001212251439877	-0.4984221972644811	5.98739914812e-5
2.0	1.2	0.0	2.0	-2.9991874202671056	0.4998645700445176	-0.002271586933772163	0.0012923500363361	-0.4998264299554824	2.18381545902e-5
2.0	1.2	0.5	0.0	-1.0542708368702645	0.4640571452489253	-0.00069292020359768	0.0010460330723887	0.46521314524892526	0.0009818297345536
2.0	1.2	0.5	0.5	-1.457295905321096	0.4742949836984271	0.001871178012236907	0.0011537993145847	-0.3303170163015729	0.0005718774838196
2.0	1.2	0.5	1.0	-2.020009233619239	0.48439912528875756	-0.0008029836192391393	0.0012303129520654	-0.4817808747112425	0.000225978447349
2.0	1.2	0.5	1.5	-2.531601115573023	0.48937611644853335	-0.0018748655730225217	0.0013011725033171	-0.4982428835514667	0.0001190198513053
2.0	1.2	0.5	2.0	-3.030359698337159	0.49210813581169766	-0.00017136500382575193	0.0013734378988412	-0.49969986418830237	9.19396518859e-5
2.0	1.2	1.0	0.0	-1.2950042564350566	0.3905171522102692	3.3660231610221913e-5	0.0011921170420423	0.3905151522102692	0.000943646591932
2.0	1.2	1.0	0.5	-1.6290220004144302	0.41533647896199527	-0.0019686670810972196	0.0012647463327416	-0.3055395210380047	0.0006290565859572
2.0	1.2	1.0	1.0	-2.146765438566556	0.44386604173495103	0.0009549781001099156	0.0013314968863382	-0.470164958265049	0.0003294152995133
2.0	1.2	1.0	1.5	-2.638642621545815	0.45999226016389844	0.00038279512085059864	0.0013963669979929	-0.4939447398361016	0.0002237884047761
2.0	1.2	1.0	2.0	-3.1238323833674615	0.4696304487075134	-0.0034486333674612624	0.0014623195504073	-0.49804555129248657	0.0001824039262055
2.0	1.2	1.5	0.0	-1.6973711675288203	0.30472291787656314	0.00047133247117980837	0.0013520949664704	0.3041799178765631	0.0008970649418389
2.0	1.2	1.5	0.5	-1.9316677616829736	0.3380843810146589	-0.0031819283496394846	0.0013876126869121	-0.25798661898534114	0.0006945047482169
2.0	1.2	1.5	1.0	-2.3646813831866154	0.38484937128298624	-0.0008263831866153204	0.0014398640998624	-0.4394346287170138	0.0004532660287227
2.0	1.2	1.5	1.5	-2.817821280034305	0.4154901714051151	-0.002227946700971817	0.0014929895044194	-0.4810548285948849	0.0003346015166331
2.0	1.2	1.5	2.0	-3.2788843038851696	0.4349595335317661	-0.003302637218503879	0.0015532745891586	-0.49147246646823395	0.0002764956162868
2.0	1.2	2.0	0.0	-2.17418026882908	0.23683243333822146	-0.00012901882908034068	0.0014938102235961	0.23651943333822145	0.0008588734712952
2.0	1.2	2.0	0.5	-2.3274210712008623	0.2677899601933664	-8.523786752867579e-5	0.0015101490193169	-0.19853703980663356	0.0007414031823169
2.0	1.2	2.0	1.0	-2.6656110792627183	0.321136367137788	-0.0004898292627180112	0.0015485172037876	-0.390937632862212	0.0005606593732945
